,Unnamed: 0,id,topic,from,to,contents,date,type
893,893,1274,CSR Contribution,SHRI S  MUNISWAMY,CORPORATE AFFAIRS,"(CSR) funding category (a) whether the Companies Act stipulates that the
companies falling under the Corporate Social
Responsibility 
to
contribute/donate two percent of their net profit for
social works under different headings and if so, the
details thereof; (b) whether the Government proposes to increase
the percentage contribution towards CSR to five percent
in the near future and if so, the details thereof; (c) whether the Government has the records of the
corporates which have been going beyond the two
percent bracket of CSR expenditure; and (d) if so, whether the Government proposes to
honour such corporates/philanthropists and if so, the
details thereof?",2021-12-06,UNSTARRED
894,894,1275,Skill Development in Bihar,DR  ALOK KUMAR SUMAN,SKILL DEVELOPMENT AND ENTREPRENEURSHIP,"(a) the details of the number of Skill Development Centres operational in the country specially in Bihar; (b) the details of the number of such Skill Development Centres operational in district Gopalganj of Bihar; (c) the number of people who have been provided
training by these Centres in district Gopalganj of Bihar
and total amount spent for this purpose during last three
years; (d) the number of beneficiaries who have been
benefited by Government for their startups in district
Gopalganj of Bihar?",2021-12-06,UNSTARRED
895,895,1276,Special Package for Tourism Industry,PROF  SOUGATA RAY,TOURISM,"(a) whether the tourists inflow in the country has declined in the wake of pandemic; (b) if so, the percentage decrease of tourist inflow
compared to corresponding period and previous years; (c) whether the Government proposes to provide
special packages for the tourism industry of the country; (d) if so, the details in this regard; and (e) the remedial steps taken by the Government to boost arrival of tourists in the country?",2021-12-06,UNSTARRED
896,896,1277,MDMS in Maharashtra,SHRIMATI SUPRIYA SULE & DR  SUBHASH RAMRAO BHAMRE,EDUCATION,"(a) the status of Mid-Day Meal Scheme (MDMS) in Maharashtra; (b) the total number of schools in which this scheme is being implemented in Maharashtra; (c) the quality of the food provided every day to
each student and the amount spent thereon as on date; (d) the total number of cooks appointed in
Maharashtra for the purpose of implementing the said
scheme; and (e) the details of the total areas covered by this scheme in Maharashtra?",2021-12-06,UNSTARRED
897,897,1278,Monetisation of Land,SHRIMATI RANJANBEN DHANANJAY BHATT,FINANCE,"(a) whether setting up a special company for the
monetisation of land is under serious consideration of
the Government; (b) if so, whether any step has been taken in this regard so far; (c) if so, the details thereof; and (d) if not, the reasons therefor?",2021-12-06,UNSTARRED
898,898,1279,"Land for JNV in Palamu, Jharkhand",SHRI VISHNU DAYAL RAM,EDUCATION,"(a) the status of the construction of Jawahar Navodaya Vidyalaya campus in Palamu; (b) whether the Government has made any plans to
acquire land for the Jawahar Navodaya Vidyalaya in
Palamu; (c) if so, the details thereof; (d) if not, the reasons therefor?",2021-12-06,UNSTARRED
899,899,1280,Museums and Memorials on Veer Savarkar,SHRI VISHNU DATT SHARMA & DR  ARVIND KUMAR SHARMA,CULTURE,"(a) whether is it true that museums or memorials on
Veer Savarkar and other forgotten heroes of our freedom
fight, national movement and nationhood are either very
few or non-existent; and (b) if so, the details thereof; and (c) the steps taken by the Government to address this issue?",2021-12-06,UNSTARRED
900,900,1281,Financial Assistance to Asiatic Library,SHRI ARVIND GANPAT SAWANT,CULTURE,"(a) the number of libraries which have been accorded
status of Institution of National Importance in our country
since independence; (b) whether there are any plans to accord status of
Institution of National Importance to Asiatic Library in
Mumbai. (c) if so, the details thereof. (d) whether the employees working in Asiatic Library,
Mumbai have not been paid full salary for almost one
year and if so, the details thereof; 243 (d) whether the employees have served the notice
of agitation for their non-payment of salary and if so, the
details thereof; (e) the quantum and details of financial assistance
given by the Ministry of Culture or Government of India
to this historical library; and (f) the details of other institutes who provide financial assistance to Asiatic Library?",2021-12-06,UNSTARRED
901,901,1282,Special Cultural Fund,SHRI DILESHWAR KAMAIT & SHRI  JUGAL KISHORE SHARMA & SHRI JYOTIRMAY SINGH MAHATO & SHRIMATI GEETA KORA & SHRIMATI RITI PATHAK,CULTURE,"(a) whether the Government has any mechanism to
set up any special cultural fund for promoting our
invaluable culture, especially for organizing cultural
programmes at district level for promoting cultural/tourist
spots; (b) if so, the details thereof, State/UT-wise including
Jammu & Kashmir, West Bengal, Jharkhand, Bihar and
Madhya Pradesh; (c) if not, the reasons therefor; and (d) the details of formal communication with the
concerned officials and nodal agencies in regard to the
said objective including the amount of funds allocated
to Jammu & Kashmir, West Bengal, Jharkhand, Bihar and
Madhya Pradesh and the formal process for organizing
programmes to promote tourism these States?",2021-12-06,UNSTARRED
902,902,1283,Children without Digital Devices,DR  MOHAMMAD JAWED,EDUCATION,"(a) whether the Government has undertaken a
national assessment of the number of children in the
country who lack access to digital devices ; (b) if so, the number of children who lacked access
to mobile devices and DTH television respectively during
the pandemic in each State and UT (divided by gender)
and if not, the reasons therefor ; (c) the strategies are being followed for children
lacking access to digital gadget (mobile device/ DTH
television); (d) the Number of teachers trained on provided education in digital modes ; (e) the number of teachers able to extend academic support through home visits/online ; (f) whether the Government is preparing to undertake
a national assessment to understand the impact on  
 . learning ability of the children due to continued school
closures and discontinued education during the
pandemic; and (g) whether the Government is undertaking specific
steps to meet the learning gaps/discontinuity of education
in context of new challenges?",2021-12-06,UNSTARRED
903,903,1284,Bank Loans to Government of Haryana,SHRI DHARAMBIR SINGH,FINANCE,"(a) the details of the loans given to the Government of Haryana from 2014 till date by various banks; and (b) the details of loans sanctioned to various
companies and corporation owned by the State
Government of Haryana from 2014 till date?",2021-12-06,UNSTARRED
904,904,1285,Operation of Resorts/Hotels in Elephant Corridors,SHRI A K P  CHINRAJ,ENVIRONMENT,"(a) the number of Resorts, Hotels, Homestays
operating illegally in Elephant corridors of Nilgiris district; (b) the number of Resort, Hotel, Homestay owners who are prosecuted for violation of environmental guidelines; (c) whether due to these encroachments on forest land, human-animal conflict is increasing; and (d) if so, the details thereof?",2021-12-06,UNSTARRED
905,905,1286,Unemployment,SHRI SISIR KUMAR ADHIKARI,LABOUR AND EMPLOYMENT,"(a) whether it is a fact that labour market is facing
a serious problem of unemployment and a huge number
of work forces of our country remain partially or wholly
unemployed throughout the year which has led to
disguised unemployment; and (b) if so, the action taken by the Government to
stable the employment rate at least at par with pre-covid
employment situation?",2021-12-06,UNSTARRED
906,906,1287,Establishment of Bad Bank,SHRI MANICKAM TAGORE B,FINANCE,"244 (a)whether the Government has decided to set up a
bad bank to clear the Non-Performing Assets (NPAs) of
the banks; (b) if so, whether the said bad bank shall take over
and resolve NPAs amounting to Rs.2 lakh crore and if
so, the details thereof; (c) whether the Government cleared a Rs.30,600
crore guarantee programme for the said purpose and if
so, the details thereof; (d)whether the banks’ gross NPAs will exceed Rs.10 lakh crore by March, 2022; and (e) if so, the details thereof?",2021-12-06,UNSTARRED
907,907,1288,Utilisation of CAMPA Fund,SHRI G M  SIDDESHWAR,ENVIRONMENT,"(a) the status of implementation of Compensatory
Afforestation Fund Management and Planning Authority
(CAMPA) Fund, State-wise, with a particular reference
to Karnataka; (b) the amount that has been given to States, particularly to Karnataka last year; (c) the amount collected from January, 2019 till
March, 2020, and the steps taken to distribute this
amount to States; and (e) the manner in which the Ministry will ensure that
CAMPA Funds are utilized for the purpose for which
they are released?",2021-12-06,UNSTARRED
908,908,1289,Agricultural Credit by PSBs,SHRI HEMANT TUKARAM GODSE,FINANCE,"(a) the quantum of agricultural credit given by
Public Sector Banks (PSBs) during each of the last
three years and the current year till date, State/ UT-wise
in
and bank-wise and specially district-wise 
Maharashtra; (b) the details of the percentage of this agricultural
credit given in urban areas and rural areas during the
said period, State/UT-wise and bank-wise; (c) whether the agricultural credit given in urban
areas is much higher than the credit given in rural areas
and if so, the details thereof and the reasons therefor; and (d) the efforts being made by the Government to
give more agricultural loans in rural areas across the
country?  
 .",2021-12-06,UNSTARRED
909,909,1290,Swachh Vidyalaya Abhiyan,DR  A  CHALLAKUMAR,EDUCATION,"(a) whether the Government has achieved the
construction of at least one toilet in each school in the
country comprising primary, upper primary and secondary
levels of education under Swachh Bharat, Swachh
Vidyalaya Initiative (SVI); (b) if so, the details of total number of toilets
constructed so far and number of schools covered,
State-wise; (c) the district-wise number of schools with
dysfunctional toilets along with the total number of
toilets in both Government and private categories in
Tamil Nadu as on November,2021; and (d) the number of toilets constructed, repaired and
functional especially in Krishnagiri district, Tamil Nadu
during the last three years, year-wise?",2021-12-06,UNSTARRED
910,910,1291,Education for All,SHRIMATI APARAJITA SARANGI,EDUCATION,"(a) whether the Government runs any scheme or
proposes to run a scheme to educate illiterate/ uneducated
adults (15 years or above); (b) if so, the details thereof and the data for the
number of adults or persons 15 years or above who have
been educated till date; (c) whether the Government runs any scheme
particularly for adults in the urban poor populations and
if so, details thereof; (d) whether any financial assistance or incentives are
offered for adults to enroll themselves for education;
and (e) the details of the subjects taught, duration, cost, and the level of education?",2021-12-06,UNSTARRED
911,911,1292,Startup Scheme,SADHVI PRAGYA SINGH THAKUR,FINANCE,"(a) whether the Government is formulating any
scheme to financially strengthen the startups in the
country including those in the Bhopal constituency,
Madhya Pradesh, if so, the details thereof and if not, the
reasons therefor; and 245 (b) whether the Government is considering to
organize bank fair for the startups in the country including
those in the Bhopal constituency, Madhya Pradesh, if
so, the details thereof and if not, the reasons therefor?",2021-12-06,UNSTARRED
912,912,1293,"Marketing of Products Made in Remote Tribal
Villages",SHRIMATI SARMISTHA SETHI,TRIBAL AFFAIRS,"(a) whether the Government plans to take any
initiative in order to market the products made in remote
tribal villages; (b) if so, the details thereof; (c) whether the Government has conducted any
assessment of the challenges being faced by the tribal
communities of the country; and (d) if so, the details thereof?",2021-12-06,UNSTARRED
913,913,1294,Expansion of Education Programmes,SHRI BALAK NATH,EDUCATION,"(a) the programmes, schemes and projects being
implemented for the expansion of integrated education
in the country including Rajasthan especially in the rural
areas; and (b) the total budget allocated for the expansion of
basic infrastructure of education such as Smart Board
Online Education App. and for the improvement in the
quality of teachers in the schools in the rural areas for
the year 2021-2022?",2021-12-06,UNSTARRED
914,914,1295,Closure of Ash Ponds,MS  S  JOTHIMANI,ENVIRONMENT,"(a) whether there is an SOP on how coal-based
power plants will be decommissioned to ensure safe
management, handling and disposal of hazardous
substances; (b) if so, the details thereof and if not, the reasons therefor; (c) whether there is an SOP for the closure of ash
ponds as part of decommissioning coal-based power
plant; (d) if so, the details thereof and if not, the reasons therefor; and  
 . (e) the details of measures being implemented to
improve the efficiency of energy transition in the power
sector?",2021-12-06,UNSTARRED
915,915,1296,Funds to States to Organise Fairs and Festivals,SHRI JUAL ORAM,CULTURE,"(a) whether the Government is providing funds to
the States to organize fairs and festivals and if so, the
details thereof; (b) whether the assistance is extended to the States to promote tribal culture also; and (c) if so, the fund provided to different States during the last three years?",2021-12-06,UNSTARRED
916,916,1297,Promotion of Indian Languages,SHRI PARBATBHAI SAVABHAI PATEL & SHRI NARANBHAI KACHHADIYA,EDUCATION,"(a) the details of efforts being made by the
Government to promote Indian languages for
comprehensive educational development ; (b) whether the protection and promotion of Indian
languages are important for the unity and integrity of
the country; (c) if so, the details thereof and the steps taken or
proposed to be taken by the Government in this regard;
and (d) the efforts being made by the Government in
order to ensure that the students of Gujarat may study
in their own languages and acquire higher education as
well, under this system?",2021-12-06,UNSTARRED
917,917,1298,ESI Hospital at Choudwar,SHRI MAHESH SAHOO,LABOUR AND EMPLOYMENT,"(a) the current status of upgradation of the ESI Hospital at Choudwar; (b) whether the Government proposes to consider
providing Government land just outside the restricted
zone for the hospital; and (c) if not, the reasons therefor? 246",2021-12-06,UNSTARRED
918,918,1299,Tribal Sub Plan in West Bengal,SHRI RAJU BISTA,TRIBAL AFFAIRS,"(a) the details of the funds allocated under various
programs under Tribal Sub Plan schemes in West Bengal;
and (b) the details of projects implemented under Tribal
Sub Plan (TSP) in tribal dominated areas of Darjeeling
and Kalimpong districts?",2021-12-06,UNSTARRED
919,919,1300,"Funds Sanctioned to Nagaland for Construction of
Tourist Destinations",SHRI TOKHEHO YEPTHOMI,TOURISM,"(a) the quantum of funds allocated to Nagaland
State for the development of tourist destinations; and (b) the details of places which has been developed so far since 2018-21, year/place-wise?",2021-12-06,UNSTARRED
920,920,1301,Foreign Investment,SHRI SADASHIV KISAN LOKHANDE,FINANCE,"(a) the quantum of foreign investment in the country so far during the last three years, Sate-wise; (b) the shortfall or abundance seen during the said period, state-wise; (c) whether there is a shortfall in foreign investment in the country due to administrative obstacles; and (d) if so, the steps taken or proposed by the
Government to deal with such obstacles in order to
increase the foreign investment in the country?",2021-12-06,UNSTARRED
921,921,1302,Financial Support for Archaeological Excavations,DR  T  SUMATHY (a) THAMIZHACHI THANGAPANDIAN,CULTURE,"(a) whether the Government has provided any
financial support for conducting archaeological excavations
and publishing of excavation reports in Tamil Nadu during
the last three years and if so the details thereof; (b) the various Steps taken by the Government to
protect and preserve the archaeological sites in
Tamil Nadu; and  
 . (c) the total amount allocated for the same during the last five years, year-wise?",2021-12-06,UNSTARRED
922,922,1303,Bal Bhavans,SHRI NIHAL CHAND,EDUCATION,"(a) the salient features the New Education Policy; (b) whether under the Policy, the Government has
fixed the target of establishing Bal Bhavans in all districts
across the country including Ganganagar District of
Rajasthan (c) if so, the details thereof; (d) the details of the expenditure earmarked therefor; and (e) the time by which these are likely to be setup?",2021-12-06,UNSTARRED
923,923,1304,Health Insurance,SHRI DINESH CHANDRA YADAV,FINANCE,"(a) whether it is a fact that according to the report
of NITI Aayog there are 40 crore people who are not
having any health insurance cover and a large population
of middle class is unable to bear this financial burden in
the country; (b) if so, whether the Government proposes to accept the recommendations of the NITI Aayog; and (c) if so, the details thereof?",2021-12-06,UNSTARRED
924,924,1305,Welfare Schemes for Scheduled Tribes,SHRI NAMA NAGESWARA RAO,TRIBAL AFFAIRS,"(a) the details of the schemes currently being
implemented by the Government for the welfare and
integrated social development of Scheduled Tribes
including those living in left wing extremist dominated
areas of the country including Telangana ; (b) whether the Government has allocated adequate
funds under the said schemes/programmes during the
last three years and the current year; (c) if so the details thereof State/UT-wise including Telangana; and (d) the details of the Mechanism for monitoring
the utilization of funds under the said schemes/
programmes? 247",2021-12-06,UNSTARRED
925,925,1306,Approval of GM Cultivation,SHRI GAURAV GOGOI & SHRI DULAL CHAND GOSWAMI,ENVIRONMENT,"(a) whether the Government intends to approve
commercial cultivation of any genetically modified (GM)
rice varieties in the country and if so, the details of the
varieties of GM rice under field trial, including institution
and the States conducting trial in the country at present; (b) whether the Government is aware that GM crop
varieties undergoing field trial are contaminating organic
and non-GM crops and if so, the steps taken to contain
it, if not, the reasons therefor; (c) the steps taken to ensure monitoring and
implementation of safety protocols to prevent
contamination by GM crops; (d) the details of the steps taken to prevent illegal commercial cultivation of GM crops such as brinjal; (e) whether any monitoring system has been set up
by the Government to restrict import of banned
genetically modified seeds in the country and if so, the
details thereof; and (f) whether hundreds of ton of restricted genetically
modified seeds are being imported for agriculture in the
country and if so, the details thereof?",2021-12-06,UNSTARRED
926,926,1307,Allocation of Funds from NABARD,SHRI RAMESH CHANDER KAUSHIK & SHRI DILIP SAIKIA,FINANCE,"(a) the amount of funds allocated to Haryana and
North Eastern States including Assam by NABARD
since the year 2014; (b) whether the Government has received any complaint in this regard; (c) if so, the details thereof; (d) whether the Government has fixed any accountability of anyone in this regard; and (e) it so, the details thereof?",2021-12-06,UNSTARRED
927,927,1308,RIDF Programme,DR  NISHIKANT DUBEY,FINANCE,"(a) the details of the programmes being implemented
by the Government for development of rural infrastructure
in the country;  
 . (b) the State-wise details of the Rural Infrastructure
Development Fund (RIDF) assistance provided for the
development of rural infrastructure during each of the
last three years; and (c) the year-wise and district-wise details of rural
development works undertaken in Jharkhand, especially
Santhal Pargana, with the help of RIDF during the last
three years and the current financial year?",2021-12-06,UNSTARRED
928,928,1309,Budget & Economic Survey,SHRI RAVIKUMAR D,FINANCE,"(a) whether the Government has any plans to provide
the Union Budget, Economic Survey and other materials
in all the languages included in the Eighth Schedule of
the Constitution; (b) if so, the details thereof and if not, the reasons therefor; (c) whether the Government has taken steps to use
the Artificial Intelligence technology for translating such
information from one language to another and in all the
affairs of the Indian parliament; and (d) if so, the details thereof?",2021-12-06,UNSTARRED
929,929,1310,Promotion of Rural Tourism in Bihar,SHRI MADDILA GURUMOORTHY & SHRI CHANDESHWAR PRASAD,TOURISM,"(a) whether the Government has any proposal to
promote rural tourism considering the immense potential
in rural life to enhance the income of rural people; (b) if so, the details thereof and if not, the reasons therefor; (c) whether the Government has invested sufficient
funds for the development of rural tourism across the
country particularly in Andhra Pradesh and Bihar ; and (d) it so, the details thereof during each of the last three years?",2021-12-06,UNSTARRED
930,930,1311,Disinvestment of Air India,SHRI MANISH TEWARI,FINANCE,"(a) the details of the Terms of Disinvestment of Air India and its subsidiaries; (b) the details on amount of haircut on reserve price
in the deal to disinvest Air India as compared to the
price originally set in 2018-19; 248 (c) the details of Equity that Tata Sons will bring in to Air India after assuming control of the airline; (d) the details of the upfront amount that the Government will receive for the sale; (e) whether it is a fact that according to the terms
of the deal signed, there is no obligation on Tata Sons
to retain even permanent employees beyond a period of
one year; and (f) the details of the steps that are taken to protect
the jobs of permanent employees along with retirement
benefits and other remunerations that they receive or
would have received?",2021-12-06,UNSTARRED
931,931,1312,MUDRA Scheme,SHRI ANURAG SHARMA,FINANCE,"(a) the details of the loan amount disbursed under
Shishu, Kishore and Tarun categories of MUDRA Scheme
in Uttar Pradesh along with the loans disbursed under
the said Scheme in Jhansi division in comparison to all
districts of Uttar Pradesh; (b) whether the average loan amount disbursed is at
par with the other districts of Uttar Pradesh, if not, the
reasons therefor; (c) the total number of applications received by the
commercial banks and the loan disbursed out of them
under aforesaid categories and the number of loan
applications rejected and not disbursed in Jhansi
division; (d) whether the concerned applicants have been
informed in this regard, if not, the reasons therefor; and (e) whether any mechanism is available to check the
arbitrariness of commercial banks and if so, the details
thereof?",2021-12-06,UNSTARRED
932,932,1313,PM Poshan Scheme,SHRI RAHUL RAMESH SHEWALE & SHRI GIRISH BHALCHANDRA BAPAT & DR  PRITAM GOPINATHRAO MUNDE & SHRI CHANDRA SEKHAR SAHU,EDUCATION,"(a) whether the Government proposes to introduce
PM Poshan scheme to provide mid-day meal to students
of Government and Government aided schools; (b) if so, the details thereof; (c) whether the said scheme will be different from the existing mid-day meal scheme; (d) if so, the purpose of carrying out the change; (e) the share of the Centre and the States in this scheme; and  
 . (f) the steps proposed to be taken by the Government for the implementation of the new scheme?",2021-12-06,UNSTARRED
933,933,1314,Digital India Programme,SHRI KAUSHALENDRA KUMAR,FINANCE,"(a) the details of the achievements made under the Digital India Programme so far; (b) whether the banks are free to levy arbitrary
charges for digital payments in the name of Digital India,
if so, the details thereof; (c) whether the banks are making profit by levying
heavy charges on the hard earned money of the
customers; (d) if so, whether the Government is taking any
concrete steps to put a check on the said practice, if so,
the details thereof; and (e) whether the said arbitrariness of the banks is
likely to compel the customers to return to the cash
transaction system, if so, the details thereof and if not,
the reasons therefor?",2021-12-06,UNSTARRED
934,934,1315,Eviction of Beneficiaries by Banks,SHRI N K  PREMACHANDRAN,FINANCE,"(a) whether it has come to the notice of the
Government that the banks including Cooperative banks
have initiated action as per the provisions of SARFESI
Act so as to evict the beneficiaries of PMAY, PMAYG,
Life Mission and such other schemes implemented by
the Union Government, State Government and Local Self
Governments for providing home to homeless on account
of meagre amount of dues with the banks; (b) if so, the details thereof; (c) whether the banks are permitted to evict the poor
families from their home given by State Government,
Central Government and Local Self Government under
the scheme for home to homeless; (d) if so, the details thereof; (e) whether the Government proposes to stop the
eviction proceedings initiated by the banks against the
beneficiaries under the aforesaid schemes from their
home; and (f) if so, the details of the action taken thereon?",2021-12-06,UNSTARRED
935,935,1316,UNGPs on Business and Human Rights,SHRI ANUBHAV MOHANTY,CORPORATE AFFAIRS,"(a) the details of the 10 principles of United Nations
Guiding Principles (UNGPs) on business and Human
Rights that are currently part of our public sector
companies; (b) which are the commitments that are most challenging for our public sector signatories; (c) whether the Government has made any provisions
to support the companies to overcome such challenges;
and (d) if so, the details thereof ?",2021-12-06,UNSTARRED
936,936,1317,"Funds to Chhattisgarh Forest Department
 under CAMPA",SHRI SANTOSH PANDEY,ENVIRONMENT,"(a) the year-wise details of the amount released
under CAMPA head to Chhattisgarh Forest Department
in the year 2019-20 and 2020-21; (b) the ratio of the expenditure of the above said
amount on departmental work and construction work
and the total amount spent on construction work in the
state during the said financial year and the ratio of the
amount received; (c) whether the amount spent from CAMPA head on
forest divisions Rajnandgaon, Khairagarh, Kabirdham,
has been investigated by constituting an inquiry
committee from Jabalpur(MP) and if so, the facts found
in the investigation; (d) the total amount spent out of total amount
released for removing Lantana(weed) from the above
mentioned forest divisions; (e) whether any irregularities have been found by
the investigation committee in the said work and if so,
the names of guilty persons and the actions taken
thereon?",2021-12-06,UNSTARRED
937,937,1318,Pending Funds,SHRI VINAYAK RAUT,FINANCE,"(a) the details of funds towards various programmes/
projects that are pending with the Union Government for
release to the State Government for release to the State
Government of Maharashtra; and (b) the time by which these funds are expected to be released by the Union Government?",2021-12-06,UNSTARRED
938,938,1319,Health Insurance Premium,SHRI GURJEET SINGH AUJLA & ,FINANCE,"(a) whether it is a fact that health insurance
premium are increasing by 10-25 percent every year
causing lot of hardship to poor and senior citizens and
in the case of senior citizens, the increase is more than
50 per cent; (b) if so, the steps the Government is contemplating
to reduce the insurance premium this year especially for
middle aged, Senior citizens, etc.; (c) whether it is also a fact that GST on insurance
premium is 18 percent at present which is very high as
compared to other countries; and (d) if so, the steps being taken to reduce the GST
on insurance premium from the present 18 per cent to 5
per cent?",2021-12-06,UNSTARRED
939,939,1320,Tax Benfits for Women Entrepreneurs,SHRI SUKHBIR SINGH JAUNAPURIA,FINANCE,"(a) the rank of India in the world in terms of women
entrepreneurship index along with the name of the
enterprises in which women have empowered themselves
as entrepreneurs in urban areas; (b) whether the Government has made any provision
to provide special rebate to the women entrepreneurs in
various taxes and income tax; (c) if so, the details thereof and if not, the reasons
therefor along with the steps taken by the Government
in this regard; and (d) the number of women who have applied for
starting their businesses in Rajasthan so far during the
last three years?",2021-12-06,UNSTARRED
940,940,1321,Environment Performance Index,SHRI BENNY BEHANAN,ENVIRONMENT,"(a) whether the Ministry has taken cognizance of
the Environment Performance Index which in its most
recent report gives India a rank of 168 out of 180
countries; (b) if so, the Government’s response to the same; (c) whether the Government has identified the reason for India’s poor performance on the index; and (d) if so, the details thereof and if not, the reasons therefor? 250",2021-12-06,UNSTARRED
941,941,1322,"Women Participation in Skill
 Training Programme",SHRI PATEL HASMUKHBHAI SOMABHAI,SKILL DEVELOPMENT AND ENTREPRENEURSHIP,"(a) whether the Government has taken any steps to
promote women participation in skill training programmers
and if so, the details thereof; and (b) the details of division/break up between male
and female candidates taking skill training at training
centres?",2021-12-06,UNSTARRED
942,942,1323,"New Employees Pension Scheme, 1995",SHRI KRUPAL BALAJI TUMANE & SHRI OMPRAKASH BHUPALSINH alias PAWAN RAJENIMBALKAR,LABOUR AND EMPLOYMENT,"(a) the date on which Employees Pension Scheme,
1995 (EPS 95) was introduced and the basis and criteria
fixed for it; (b) whether all the members of the old pension
scheme, 1971 were transferred to this new EPS 95 without
giving them alternative of any type of pension or other
social/economic security scheme by transferring corpus
fund of old pension scheme 1971 to new EPS 95 after
discontinuing the old scheme; (c) if so, the reasons therefor; (d) whether EPS 95 pensioners contributed every month from their salary to get pension facility; (e) if so, the amount of pension being provided to pensioners and the criteria thereof; and (f) the effective steps taken by the Government for
providing medical and other facilities to them along with
the increased pension?",2021-12-06,UNSTARRED
943,943,1324,"Environment Clearance for Contruction of an
Underpass",SHRI   M K  RAGHAVAN,ENVIRONMENT,"(a) whether the Government has issued necessary
environment clearance for constructing an underpass by
the State Government with the support of KIIFB at
Koduvally town in Kozhikode-Kollegal NH 766; (b) whether the Government has observed increasing
man-animal conflicts in the State of Kerala, if so, the
details regarding the number of such incidents reported,
district wise;  
 . (c) whether any compensation is available for man- animal conflict cases, if so, the details thereof; (d) whether the Government has observed that a
large number of crops were being destroyed due to
animal attacks in Kerala; and (e) if so, the details regarding the same, district-wise
and the amount of compensation granted for the same?",2021-12-06,UNSTARRED
944,944,1325,School Enrolment,SHRIMATI VANGA GEETHA VISWANATH & SHRI KOTHA PRABHAKAR REDDY & SHRI RAKESH SINGH,EDUCATION,"(a) whether the number of children enrolled in school
in urban and rural areas of the country has decreased
due to the Covid-19 pandemic and if so, the details
thereof, State-wise; (b) the studies/ surveys done by the Government and reports prepared/ action taken thereon; (c) whether the educational level of the children has deteriorated in the last and the current year; (d) if so, the details thereof; and (e) whether the Government is contemplating taking
corrective steps in this regard keeping in view the future
of the children?",2021-12-06,UNSTARRED
945,945,1326,Promotion of Tourism in Tamil Nadu,SHRI T R V S  RAMESH,TOURISM,"(a) the steps taken by the Government to promote
tourism in the State of Tamil Nadu for the tourists
visiting the State for pilgrimage; (b) the details of the Government’s tourism policy
for sustaining the livelihood of the marginalized
population dependent on tourism; (c) whether there is any policy of the Government
for the artisans engaged in various art and craft ventures
specifically aimed at income generation from domestic
and international tourists/travellers; (d) if so, the impact of such policy outlays benefitting the marginalized population and the artisans; and (e) if so, the details thereof, district-wise?",2021-12-06,UNSTARRED
946,946,1327,COP26,SHRI T R  BAALU,ENVIRONMENT,"(a) whether India has refused to endorse the recently
adopted Glasgow Declaration on Climate Change in COP
26, pertaining to the containment of deforestation; (b) if so, the considerations on which India has
decided to take a stand different from that of the
international community; (c) whether the Government has thought of a crash
program to increase the Country“s forest cover to 33 per
cent of the land area, the target which was fixed about
25 years ago in view of the fact that presently the forest
cover remains static at 19 per cent only for several years
now; (d) whether the Government also has a plan on hand
to create a Carbon Sink comprised of Forests and
Plantations to absorb 3 billion tons of carbon dioxide;
and (e) if so, the details of the plan and by when it is to be commenced?",2021-12-06,UNSTARRED
947,947,1328,Grant of Special Assistance to Odisha,SHRI  RAMESH CHANDRA MAJHI,FINANCE,"(a) whether the Government proposes to grant
financial assistance to Odisha under the Special
Assistance Scheme during the current financial year; (b) if so, the details thereof along with the funds allocated for the same; (c) the time by which the said allocation is likely to be released to the State Government; and (d) the details of Infrastructure projects identified
for development by the State Government in this regard?",2021-12-06,UNSTARRED
948,948,1329,Education Programmes,SHRI GIRISH CHANDRA & SHRI D K SURESH & SHRIMATI SUMALATHA AMBAREESH & SHRI NALIN KUMAR KATEEL,EDUCATION,"(a) whether the Government is cognizant of prevalent
digital divide in online learning in education between
urban and rural areas and if so, the steps taken to ensure
that each child has access to education viz digital modes
at a personal level and the cost which has been incurred
on the project; (b) if not, the steps taken by the Government to address the gap; (c) whether the Government has conducted any
comprehensive assessment of the digital divide or its
impact on remote education across the country; (d) if so, the findings of the assessment ; (e) whether the Parliamentary Standing Committee
on Education recommended to the Government to
compile a similar assessment of State Government-run
schools; (f) if so, whether the Government has taken any
steps to conduct the similar assessment of all the State
Government schools in the country; and (g) the findings of the assessments and the action taken/ proposed to be taken thereon ?",2021-12-06,UNSTARRED
949,949,1330,School Innovation Ambassador Training Programme,SHRI RAVINDRA KUSHWAHA & SHRI SUBRAT PATHAK & SHRI RAVI KISHAN & SHRI BIDYUT BARAN MAHATO,EDUCATION,"(a) whether the Government has recently launched
a ‘School Innovation Ambassador Training Program’ for
50,000 school teachers across the country; (b) if so, the details thereof and the aims and
objectives and salient features of the said programme; (c) whether the Government proposes to integrate
Eklavya Schools to this programme to develop capacity-
building, creativity, critical thinking and communications
among the tribal students and if so, the details thereof; (d) whether the Government is working in
coordination with the Central Board of Secondary
Education(CBSE) and AICTE to nurture the innovative
capabilities of the tribal students and if so, the details
thereof; and (e) whether the Government has released any fund
for the implementation of said training program and if so,
the details thereof?",2021-12-06,UNSTARRED
